,0,1
1,-102.51828670501709,9
2,-155.23622846603394,10
3,-211.22736048698425,14
4,-260.1082034111023,14
5,-315.8188581466675,18
6,-429.5518035888672,22
7,-466.1364495754242,22
8,-509.4646408557892,22
9,-546.4567568302155,22
10,-581.5258934497833,22
11,-620.9107978343964,22
12,-658.4062530994415,22
13,-695.2175583839417,22
14,-734.0886418819427,22
15,-768.5183095932007,22
16,-806.5480816364288,22
17,-842.2419631481171,22
18,-876.970537185669,22
19,-908.8589732646942,22
20,-944.5065636634827,22
21,-982.2466762065887,22
22,-1017.9802498817444,22
23,-1052.9234795570374,22
24,-1089.237368106842,22
25,-1125.853667497635,22
26,-1163.3248174190521,22
27,-1200.4233224391937,22
28,-1238.0584321022034,22
29,-1270.499101638794,22
30,-1308.0405502319336,22
