,0,1
1,-91.64464950561523,10
2,-136.7739450931549,12
3,-176.7037603855133,12
4,-227.38121891021729,12
5,-272.1663053035736,15
6,-345.77444338798523,17
7,-385.297563791275,17
8,-432.51235842704773,19
9,-473.0741720199585,19
10,-510.5540463924408,19
11,-560.8457734584808,20
12,-599.8281483650208,20
13,-633.6078729629517,20
14,-671.2465896606445,20
15,-720.6826453208923,24
16,-754.9814646244049,24
17,-791.291445016861,24
18,-828.0725984573364,24
19,-868.1756610870361,24
20,-908.3488907814026,24
21,-947.7190682888031,24
22,-983.5726926326752,24
23,-1016.4529304504395,24
24,-1054.5988385677338,24
25,-1093.0806488990784,24
26,-1130.3527448177338,24
27,-1174.5590989589691,24
28,-1209.8768546581268,24
29,-1249.8509271144867,24
30,-1286.2689707279205,24
