,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3.2927999999999997,-3.2927999999999997,-3.2927999999999997,-3.2927999999999997,-6.539999999999999,-2.352,-1.3920000000000001,2.4,-2.352,-6.539999999999999,-1.3920000000000001,2.4,-2.352,-2.352,-6.539999999999999,2.4,-2.352,-2.352,-1.3920000000000001,-6.539999999999999,-2.352,-2.352,-1.3920000000000001,2.4,-6.539999999999999,-2.352,-1.3920000000000001,2.4,-2.352,-6.539999999999999,-1.3920000000000001,2.4
2,0.0,0.0,0.0,0.0,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08
3,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0
5,-2.352,-2.352,-2.352,-2.352,-2.352,-1.8659999999999999,0.0,-1.8659999999999999,-2.352,-1.8659999999999999,0.0,-1.8659999999999999,-2.352,-1.8659999999999999,0.0,-1.8659999999999999,-2.352,-1.8659999999999999,0.0,-1.8659999999999999,-2.352,-1.8659999999999999,0.0,-1.8659999999999999,-2.352,-1.8659999999999999,0.0,-1.8659999999999999,-2.352,-1.8659999999999999,0.0,-1.8659999999999999
6,-4.199999999999999,-4.199999999999999,-4.199999999999999,-4.199999999999999,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0
7,2.1000000000000005,2.1000000000000005,2.1000000000000005,2.1000000000000005,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
8,-7.742182299523392,-7.742182299523392,-7.742182299523392,-7.742182299523392,-6.9532099127424,-7.205278542027839,-7.31714759695296,-7.0130446018559995,-6.9532099127424,-7.205278542027839,-7.31714759695296,-7.0130446018559995,-6.9532099127424,-7.205278542027839,-7.31714759695296,-7.0130446018559995,-6.9532099127424,-7.205278542027839,-7.31714759695296,-7.0130446018559995,-6.9532099127424,-7.205278542027839,-7.31714759695296,-7.0130446018559995,-6.9532099127424,-7.205278542027839,-7.31714759695296,-7.0130446018559995,-6.9532099127424,-7.205278542027839,-7.31714759695296,-7.0130446018559995
9,-7.793818465699199,-7.793818465699199,-7.793818465699199,-7.793818465699199,-8.011563024743232,-8.011563024743232,-7.53528988518144,-7.63844561481984,-8.011563024743232,-8.011563024743232,-7.66230270920448,-7.4799448130496,-8.011563024743232,-8.011563024743232,-7.4799448130496,-7.4799448130496,-8.011563024743232,-8.011563024743232,-7.53528988518144,-7.63844561481984,-8.011563024743232,-8.011563024743232,-7.66230270920448,-7.4799448130496,-8.011563024743232,-8.011563024743232,-7.4799448130496,-7.4799448130496,-8.011563024743232,-8.011563024743232,-7.53528988518144,-7.63844561481984
