,0,1
1,-94.38596224784851,2
2,-173.90978360176086,2
3,-252.2432610988617,2
4,-330.8995268344879,2
5,-406.9328980445862,2
6,-484.4704086780548,2
7,-561.8283095359802,2
8,-639.5655374526978,2
9,-718.1942958831787,2
10,-796.8948407173157,2
11,-875.1081118583679,2
12,-950.8016355037689,2
13,-1029.3833429813385,2
14,-1105.6119906902313,2
15,-1183.3220176696777,2
16,-1262.1290323734283,2
17,-1339.393969297409,2
18,-1418.1851997375488,2
19,-1496.8572452068329,2
20,-1573.9009003639221,2
21,-1651.1416807174683,2
22,-1729.5725603103638,2
23,-1806.8649153709412,2
24,-1885.8760421276093,2
25,-1962.6905450820923,2
26,-2040.5460460186005,2
27,-2118.1808388233185,2
28,-2197.3978729248047,2
29,-2275.480051755905,2
30,-2354.400981903076,2
