,0,1
1,-154.86185836791992,11
2,-234.9511251449585,16
3,-275.5462553501129,16
4,-334.5423412322998,20
5,-377.55443239212036,20
6,-427.7644875049591,21
7,-478.80972838401794,21
8,-520.2652995586395,22
9,-563.2495708465576,22
10,-602.4113869667053,22
11,-643.8414602279663,22
12,-686.4775128364563,22
13,-727.9746654033661,22
14,-767.790776014328,22
15,-811.1862051486969,22
16,-851.9416046142578,22
17,-897.9705410003662,22
18,-939.1237061023712,22
19,-980.1234788894653,22
20,-1022.97460770607,22
21,-1069.742663860321,22
22,-1110.5384061336517,22
23,-1151.2946774959564,22
24,-1194.1749770641327,22
25,-1236.1383073329926,22
26,-1276.1348428726196,22
27,-1320.5974221229553,22
28,-1362.4414327144623,22
29,-1405.265576839447,22
30,-1443.0724232196808,22
