,0,1
1,-80.01850152015686,7
2,-235.6161916255951,17
3,-344.35870146751404,23
4,-397.68738317489624,23
5,-452.2005207538605,23
6,-534.2824268341064,24
7,-585.4850358963013,28
8,-630.9077770709991,28
9,-773.9095408916473,31
10,-829.0973420143127,31
11,-876.8999242782593,31
12,-925.3617672920227,32
13,-972.4953482151031,33
14,-1024.2427525520325,34
15,-1066.751084804535,34
16,-1190.4372243881226,36
17,-1235.9588017463684,37
18,-1279.6820137500763,37
19,-1330.0640919208527,39
20,-1376.771069765091,39
21,-1445.1191177368164,40
22,-1490.8614089488983,40
23,-1528.8918311595917,40
24,-1581.3320636749268,40
25,-1622.3402791023254,40
26,-1664.1565430164337,40
27,-1711.7506704330444,41
28,-1753.0809462070465,41
29,-1794.9751801490784,41
30,-1849.9740600585938,42
