,0,1
1,-60.122204065322876,7
2,-122.00194883346558,14
3,-215.88204646110535,17
4,-280.5673928260803,18
5,-329.080593585968,18
6,-371.1078522205353,19
7,-413.4265048503876,19
8,-460.381472826004,19
9,-497.1951880455017,20
10,-532.0536940097809,20
11,-573.8419704437256,20
12,-608.2882852554321,20
13,-650.7177267074585,20
14,-686.2377994060516,20
15,-735.1115808486938,21
16,-774.0623836517334,21
17,-811.9264023303986,22
18,-878.3474283218384,22
19,-927.9034209251404,22
20,-976.2776620388031,22
21,-1014.0232899188995,22
22,-1055.0394372940063,22
23,-1149.4957687854767,23
24,-1191.844544172287,23
25,-1233.613985300064,23
26,-1284.6507256031036,23
27,-1319.7356350421906,23
28,-1359.865515947342,23
29,-1420.731432914734,23
30,-1460.3368654251099,23
