,0,1
1,-133.54578399658203,112
2,-287.8425269126892,112
3,-362.7505257129669,114
4,-481.69910287857056,114
5,-593.9875540733337,114
6,-661.634042263031,115
7,-726.1356065273285,115
8,-803.1132082939148,118
9,-911.4698424339294,118
10,-997.052642583847,118
11,-1052.151010274887,118
12,-1112.167869091034,119
13,-1167.214908361435,119
14,-1227.1444494724274,119
15,-1274.7629868984222,119
16,-1339.721687078476,119
17,-1398.445021390915,120
18,-1468.7403967380524,120
19,-1517.661942243576,121
20,-1571.7340145111084,121
21,-1637.0967423915863,121
22,-1675.1406826972961,121
23,-1722.0771989822388,121
24,-1768.7396984100342,121
25,-1827.8663771152496,121
26,-1899.9255440235138,124
27,-1960.9004220962524,124
28,-2016.2493615150452,124
29,-2071.86212682724,124
30,-2119.4275240898132,124
