,0,1
1,-227.92206454277039,22
2,-288.3884882926941,26
3,-371.73073410987854,30
4,-454.2279784679413,34
5,-533.0049574375153,36
6,-599.2032103538513,39
7,-673.3004899024963,41
8,-749.2093667984009,44
9,-807.7486300468445,44
10,-871.9955554008484,46
11,-940.5512850284576,50
12,-1013.2613551616669,53
13,-1072.371450662613,53
14,-1146.4021162986755,59
15,-1221.2157163619995,60
16,-1275.4668781757355,61
17,-1342.36963057518,62
18,-1422.227814912796,63
19,-1481.6992259025574,65
20,-1545.7779297828674,68
21,-1612.7479679584503,71
22,-1678.8394463062286,72
23,-1735.5090148448944,72
24,-1802.6839227676392,72
25,-1859.9947471618652,72
26,-1923.0356934070587,72
27,-1980.1680023670197,73
28,-2041.058587551117,75
29,-2100.1100947856903,75
30,-2160.4577684402466,76
