,0,1
1,-67.75329399108887,27
2,-125.18217515945435,28
3,-179.0696747303009,28
4,-229.25809979438782,28
5,-280.35217928886414,28
6,-335.4652705192566,30
7,-378.2567286491394,30
8,-422.2667498588562,30
9,-460.0640037059784,30
10,-496.82734084129333,30
11,-542.6200115680695,30
12,-584.0242686271667,30
13,-624.5780298709869,30
14,-675.8484199047089,31
15,-716.5144176483154,31
16,-766.0981373786926,31
17,-813.0331153869629,31
18,-857.5701994895935,31
19,-902.1374816894531,31
20,-943.2412762641907,31
21,-981.7573456764221,31
22,-1028.2530493736267,31
23,-1073.381634235382,31
24,-1117.6413538455963,31
25,-1162.252745628357,31
26,-1210.1768913269043,31
27,-1258.0393249988556,33
28,-1307.1144275665283,34
29,-1354.0669357776642,34
30,-1398.4410111904144,34
