,0,1
1,-88.54065346717834,14
2,-137.24327564239502,16
3,-187.81072854995728,18
4,-223.9856894016266,18
5,-264.4861979484558,18
6,-311.35623931884766,19
7,-364.75422739982605,20
8,-401.5264163017273,20
9,-440.7444305419922,20
10,-487.55741119384766,21
11,-535.220516204834,21
12,-580.3968048095703,21
13,-631.0949470996857,23
14,-680.7902693748474,23
15,-731.5545160770416,23
16,-770.4144284725189,23
17,-816.9334075450897,24
18,-858.4640996456146,24
19,-898.4323163032532,24
20,-942.0728523731232,24
21,-980.517826795578,24
22,-1025.525694847107,24
23,-1067.5705590248108,24
24,-1115.6242055892944,25
25,-1153.7398319244385,25
26,-1191.310203552246,25
27,-1229.3891432285309,25
28,-1277.1059167385101,26
29,-1320.5043504238129,27
30,-1365.1493425369263,27
