,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-7.803245619533893,-7.803245619533893,-7.803245619533893,-7.803245619533893,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734,-8.227938138434734
1,-4.790808,-4.790808,-4.790808,-4.790808,-4.199999999999999,-5.5916955,-5.9178581999999995,-3.795,-4.413029999999999,-4.9938,-5.32752,-3.5519999999999996,-5.32752,-4.199999999999999,-5.5916955,-5.9178581999999995,-3.795,-4.413029999999999,-4.9938,-5.32752,-3.5519999999999996,-5.32752,-4.199999999999999,-5.5916955,-5.9178581999999995,-3.795,-4.413029999999999,-4.9938,-5.32752,-3.5519999999999996,-5.32752,-4.199999999999999
2,-4.850124,-4.850124,-4.850124,-4.850124,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.9802672,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264,-5.561405734333459,-5.679264
3,0.0,0.0,0.0,0.0,-2.4551999999999996,0.0,2.9448,0.0,-2.0502000000000002,0.8448,-2.08746,0.0,-2.08746,0.0,-2.4551999999999996,0.8448,-2.08746,2.9448,0.8448,0.0,-2.08746,0.8448,-2.08746,0.0,0.8448,0.0,-2.08746,0.8448,2.9448,0.0,-2.08746,0.0
4,-5.288639999999999,-5.288639999999999,-5.288639999999999,-5.288639999999999,-6.3146112,-4.570008,-6.3146112,-5.4010032,-6.3146112,-3.0,-6.3146112,-3.0,-6.3146112,-4.199999999999999,-6.3146112,-3.0,-5.4010032,-3.0,-6.3146112,-3.0,-6.3146112,-3.0,-6.3146112,-4.570008,-6.3146112,-5.4010032,-6.3146112,-3.0,-6.3146112,-3.0,-6.3146112,-4.199999999999999
5,-4.146431494314258,-4.146431494314258,-4.146431494314258,-4.146431494314258,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0,0.0,-3.0
6,-5.125682508186284,-5.125682508186284,-5.125682508186284,-5.125682508186284,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682,-8.092726690410682
7,-2.595,-2.595,-2.595,-2.595,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1.5563999999999998,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,1.5563999999999998,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,-2.109,1.5563999999999998,-2.109,-2.109,-2.109,-2.109,-2.109
9,-1.6800000000000006,-1.6800000000000006,-1.6800000000000006,-1.6800000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.4,2.4,2.4,2.4,0.0,0.0,-2.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.352,0.0,0.0,0.0
11,-1.995,-1.995,-1.995,-1.995,-3.0744,-3.0,-4.475337193025742,-3.0,-3.8843999999999994,-3.0,-0.18599999999999994,-3.0,-0.18599999999999994,-3.0,-0.18599999999999994,-3.0744,-0.18599999999999994,-3.0,-0.18599999999999994,-4.475337193025742,-0.18599999999999994,-3.8843999999999994,-0.18599999999999994,-3.0,-0.18599999999999994,-3.0,-3.0744,-3.0,-3.397449189607884,-3.0,-0.18599999999999994,-3.0
12,0.0,0.0,0.0,0.0,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595,0.0,-2.595
13,0.0,0.0,0.0,0.0,0.0,-0.708,0.0,0.0,-0.708,0.0,0.0,-0.708,0.0,0.0,-0.708,0.0,0.0,-0.708,0.0,0.0,-0.708,1.5,0.0,-0.708,0.0,0.0,-0.708,0.0,0.0,-0.708,0.0,1.5
14,0.0,0.0,0.0,0.0,9.6,0.0,0.0,-0.6950399999999997,0.0,0.0,9.6,0.0,0.0,9.6,0.0,0.0,9.6,-0.6950399999999997,0.0,9.6,0.0,0.0,9.6,0.0,0.0,9.6,0.0,-0.6950399999999997,9.6,0.0,0.0,9.6
15,-4.806022974019709,-4.806022974019709,-4.806022974019709,-4.806022974019709,-4.673863436155952,-3.9,0.0,0.0,0.0,0.0,-3.495,0.0,0.0,0.0,0.0,0.0,-3.7828308734579523,-4.673863436155952,-3.9,0.0,-3.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7828308734579523,-4.673863436155952,-3.9
16,-6.589802515073483,-6.589802515073483,-6.589802515073483,-6.589802515073483,-6.561440808512064,-7.839078567112203,-6.638559599222305,-6.619554347407953,-6.115281728392059,-6.0501042432,-6.199144243199999,-6.199144243199999,-6.199144243199999,-5.600260607999999,-5.600260607999999,-6.5962835820197085,-7.251863155274884,-6.561440808512064,-7.839078567112203,-6.638559599222305,-6.619554347407953,-6.115281728392059,-6.0501042432,-6.199144243199999,-6.199144243199999,-6.199144243199999,-5.600260607999999,-5.600260607999999,-6.5962835820197085,-7.251863155274884,-6.561440808512064,-7.839078567112203
17,-2.120016,-2.120016,-2.120016,-2.120016,0.0,-3.0,-4.123132349383181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.123132349383181,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-1.6800000000000006,-1.6800000000000006,-1.6800000000000006,-1.6800000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
