,0,1
1,-101.09910869598389,11
2,-187.20707488059998,20
3,-242.08204126358032,23
4,-296.472913980484,25
5,-353.4402780532837,27
6,-401.12114548683167,27
7,-447.4775695800781,27
8,-501.39310002326965,28
9,-553.5361561775208,28
10,-601.3764462471008,28
11,-651.3483242988586,29
12,-698.1583218574524,29
13,-756.3294007778168,30
14,-804.3818922042847,30
15,-854.5537087917328,30
16,-898.4824697971344,30
17,-948.2780570983887,30
18,-997.5461242198944,30
19,-1044.0560364723206,30
20,-1088.7992041110992,30
21,-1132.881810426712,30
22,-1184.721556186676,31
23,-1231.3436393737793,32
24,-1273.84575009346,32
25,-1326.309411764145,33
26,-1383.2113854885101,35
27,-1432.3188316822052,35
28,-1481.3424940109253,35
29,-1521.530442237854,35
30,-1562.151396036148,35
