,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969,-8.98347990915969
1,-5.6244784127999985,-5.6244784127999985,-5.6244784127999985,-5.6244784127999985,-5.5631651272261635,-5.345051248404478,-9.65555060955648,-6.04757077573185,-6.095776468274824,-6.208115090244888,-5.506892851199999,-6.142962543798118,-6.407354822010844,-5.5631651272261635,-5.345051248404478,-9.65555060955648,-6.04757077573185,-6.095776468274824,-6.208115090244888,-5.506892851199999,-6.142962543798118,-6.407354822010844,-5.5631651272261635,-5.345051248404478,-9.65555060955648,-6.04757077573185,-6.095776468274824,-6.208115090244888,-5.506892851199999,-6.142962543798118,-6.407354822010844,-5.5631651272261635
2,-4.992603264,-4.992603264,-4.992603264,-4.992603264,-5.023421264947622,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-5.023421264947622,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-5.023421264947622,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353,-2.0565411519529353
3,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475,-4.447425200616475
4,-6.660120828845978,-6.660120828845978,-6.660120828845978,-6.660120828845978,-6.950591667167455,-5.9478443999999975,-5.211359999999999,-6.449036859705144,-5.354861429010431,-6.034319999999999,-5.710319999999999,-6.034319999999999,-6.041448,-6.0647525621430125,-6.953943807416557,-6.1114593336482725,-5.841394153459309,-6.950591667167455,-5.9478443999999975,-5.211359999999999,-6.449036859705144,-5.354861429010431,-6.034319999999999,-5.710319999999999,-6.034319999999999,-6.041448,-6.0647525621430125,-6.953943807416557,-6.1114593336482725,-5.841394153459309,-6.950591667167455,-5.9478443999999975
5,-1.8659999999999999,-1.8659999999999999,-1.8659999999999999,-1.8659999999999999,-1.4278291200000006,-2.8821469248000002,-3.55728,-3.9136800000000003,-4.0385328000000005,-1.4278291200000006,-1.4278291200000006,-3.55728,-3.9136800000000003,-12.2628,-4.0385328000000005,-1.4278291200000006,-3.55728,-3.9136800000000003,-1.3932000000000007,-12.2628,-4.0385328000000005,-3.55728,-3.9136800000000003,-2.8821469248000002,-1.3932000000000007,-12.2628,-3.55728,-3.9136800000000003,-1.4278291200000006,-2.8821469248000002,-1.3932000000000007,-3.55728
6,-3.0,-3.0,-3.0,-3.0,-5.0116116,-3.0,-3.0,-3.1986885,-3.5279999999999996,-3.0,-5.0116116,-3.0,-3.1986885,-3.5279999999999996,-5.0116116,-3.0,-3.0,-3.1986885,-3.5279999999999996,-3.0,-5.0116116,-3.0,-3.1986885,-3.5279999999999996,-5.0116116,-3.0,-3.0,-3.1986885,-3.5279999999999996,-3.0,-5.0116116,-3.0
7,-4.563374144805976,-4.563374144805976,-4.563374144805976,-4.563374144805976,-4.898636552041467,-4.898636552041467,-4.42315767459625,-0.16499999999999967,0.0,0.0,0.0,0.0,-0.16499999999999967,0.0,0.0,0.0,0.0,-4.898636552041467,-4.898636552041467,-4.42315767459625,0.0,0.0,-0.16499999999999967,0.0,0.0,0.0,0.0,-0.16499999999999967,0.0,0.0,-4.898636552041467,-4.898636552041467
8,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398,-7.17019739802398
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
