,0,1
1,-130.95584988594055,139
2,-209.52822041511536,139
3,-260.17703008651733,139
4,-348.5573482513428,139
5,-408.09010910987854,139
6,-477.389267206192,139
7,-541.0960075855255,139
8,-634.3053917884827,140
9,-754.3947510719299,141
10,-814.6435861587524,142
11,-888.2443952560425,142
12,-947.1013398170471,142
13,-1000.8370335102081,142
14,-1102.2637281417847,142
15,-1196.842017173767,142
16,-1277.4859442710876,145
17,-1453.0537660121918,147
18,-1505.381040096283,147
19,-1671.6459708213806,147
20,-1723.3643708229065,147
21,-1765.0619282722473,147
22,-1816.2308645248413,147
23,-1883.3130464553833,147
24,-1964.8028755187988,148
25,-2010.0997512340546,148
26,-2076.905661582947,148
27,-2119.875879049301,148
28,-2172.007645368576,148
29,-2229.619680404663,148
30,-2288.2551033496857,148
